text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,resp.rt,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
red,green,m,incongruent,0,29,29,5,,,,,,,,,,,85.72680497169495,None,m,1,85.72680497169495,None,85.23514604568481,85.78810095787048,86.1255829334259,None,86.10181620121001,86.634516954422,0.3089268207550049,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,0,30,30,21,,,,,,,,,,,88.17598700523376,None,m,1,88.17598700523376,None,87.68317985534668,88.23851895332336,88.66860389709473,None,88.6453840970993,89.173259973526,0.40383195877075195,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,0,31,31,34,,,,,,,,,,,90.71300792694092,None,z,1,90.71300792694092,None,90.21994495391846,90.77567601203918,91.16250395774841,None,91.13810303211211,91.66929697990417,0.3626279830932617,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,0,32,32,4,,,,,,,,,,,93.20770287513733,None,z,1,93.20770287513733,None,92.71483302116394,93.2702898979187,94.013986825943,None,93.990381026268,None,0.7320020198822021,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,0,33,33,15,,,,,,,,,,,96.0231249332428,None,z,0,96.0231249332428,None,95.54688692092896,96.08255887031555,96.83512902259827,None,96.81152608394622,97.3439998626709,0.73248291015625,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,0,34,34,29,,,,,,,,,,,98.87156391143799,None,m,1,98.87156391143799,None,98.37683296203613,98.93391704559326,99.4101710319519,None,99.3860211610794,None,0.4761679172515869,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,0,35,35,0,,,,,,,,,,,101.45092391967773,None,z,1,101.45092391967773,None,100.95797491073608,101.51338696479797,102.03394389152527,None,102.0105202436447,None,0.48879098892211914,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,0,0,32,,,106.4562599658966,None,z,1,106.4562599658966,None,105.95811295509338,106.51552987098694,,,,,0.39510583877563477,103.63110184669495,None,106.91983604431152,None,106.9008441209793,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,1,1,31,,,108.96215796470642,None,m,1,108.96215796470642,None,108.46921992301941,109.02459383010864,,,,,0.33754396438598633,,,109.36056590080261,None,109.34265806674956,109.8662359714508,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,0,0,0,0,0,2,2,35,,,111.40909695625305,None,m,1,111.40909695625305,None,110.91617202758789,111.47161889076233,,,,,0.43450212478637695,,,111.93259882926941,None,111.91483213901519,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,3,3,10,,,113.96483898162842,None,z,1,113.96483898162842,None,113.47189497947693,114.0273129940033,,,,,0.40680885314941406,,,114.45306897163391,None,114.43498709201812,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,4,4,14,,,116.49087595939636,None,z,1,116.49087595939636,None,115.99774503707886,116.5535340309143,,,,,0.4087820053100586,,,116.97841501235962,None,116.96095302104949,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,5,5,18,,,119.0041618347168,None,z,1,119.0041618347168,None,118.51438498497009,119.06460905075073,,,,,0.32756614685058594,,,119.40016889572144,None,119.38207819461822,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,6,6,27,,,121.42510986328125,None,m,1,121.42510986328125,None,120.93932890892029,121.48757100105286,,,,,0.38651108741760254,,,121.86757588386536,None,121.84979202747344,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,7,7,6,,,123.91927695274353,None,z,1,123.91927695274353,None,123.42646384239197,123.97842192649841,,,,,0.4043998718261719,,,124.40056085586548,None,124.38307502269744,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,8,8,34,,,126.42679595947266,None,z,1,126.42679595947266,None,125.93435096740723,126.48936605453491,,,,,0.4248530864715576,,,126.91350889205933,None,126.89529302120208,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,0,0,0,0,0,9,9,25,,,128.94911003112793,None,m,1,128.94911003112793,None,128.4560408592224,129.01145696640015,,,,,0.3824899196624756,,,129.39195585250854,None,129.37389209270478,129.8993079662323,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,0,0,0,0,0,10,10,9,,,131.41363096237183,None,m,1,131.41363096237183,None,130.9279808998108,131.4748809337616,,,,,0.3500049114227295,,,131.84872603416443,None,131.8312561750412,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,11,11,26,,,133.88090896606445,None,z,1,133.88090896606445,None,133.38821601867676,133.94342684745789,,,,,0.3628830909729004,,,134.32404398918152,None,134.30587222576142,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,12,12,3,,,136.34420490264893,None,m,1,136.34420490264893,None,135.87060499191284,136.40351390838623,,,,,0.3793489933013916,,,136.8087170124054,None,136.7907390832901,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,0,0,0,0,0,13,13,13,,,138.85743689537048,None,m,1,138.85743689537048,None,138.366112947464,138.91696190834045,,,,,0.41025495529174805,,,139.34297704696655,None,139.32541301250458,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,14,14,5,,,141.39529490470886,None,m,1,141.39529490470886,None,140.9025559425354,141.45794486999512,,,,,0.35253000259399414,,,141.83862900733948,None,141.82112720012665,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,15,15,2,,,143.88850903511047,None,z,1,143.88850903511047,None,143.3974850177765,143.94861483573914,,,,,0.3229069709777832,,,144.267098903656,None,144.25004913806916,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,16,16,29,,,146.26895594596863,None,m,1,146.26895594596863,None,145.79466104507446,146.33070182800293,,,,,0.3747830390930176,,,146.71063995361328,None,146.69297721385956,147.22089004516602,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,17,17,19,,,148.74562287330627,None,m,1,148.74562287330627,None,148.25908994674683,148.80798983573914,,,,,0.3620729446411133,,,149.18820691108704,None,149.17077424526215,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,18,18,7,,,151.21335792541504,None,m,1,151.21335792541504,None,150.72064089775085,151.2756929397583,,,,,0.3266479969024658,,,151.6108739376068,None,151.59308722019196,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,19,19,15,,,153.64128494262695,None,m,1,153.64128494262695,None,153.1493158340454,153.70382404327393,,,,,0.36246299743652344,,,154.08372282981873,None,154.06615903377534,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,0,0,0,0,0,20,20,24,,,156.12711000442505,None,z,1,156.12711000442505,None,155.63459396362305,156.18972396850586,,,,,0.2925300598144531,,,156.4805679321289,None,156.4626870393753,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,21,21,20,,,158.5080029964447,None,z,1,158.5080029964447,None,158.02193999290466,158.57020092010498,,,,,0.35970497131347656,,,158.95040702819824,None,158.93272211551667,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,0,0,0,0,0,22,22,23,,,160.98794293403625,None,m,1,160.98794293403625,None,160.50856590270996,161.04713582992554,,,,,0.2795069217681885,,,161.318354845047,None,161.30665709972382,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,0,0,0,0,0,23,23,17,,,163.3597059249878,None,m,1,163.3597059249878,None,162.87626004219055,163.41871285438538,,,,,0.3399178981781006,,,163.77341198921204,None,163.7618611097336,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,24,24,8,,,165.78696393966675,None,z,1,165.78696393966675,None,165.31332397460938,165.84613704681396,,,,,0.34465789794921875,,,166.2016999721527,None,166.189990067482,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,0,0,0,0,0,25,25,12,,,168.23196387290955,None,z,1,168.23196387290955,None,167.7395360469818,168.294517993927,,,,,0.2678830623626709,,,168.5856740474701,None,168.5680270433426,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
