text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
XXXXX,green,m,neutral,0,29,29,27,,,,,,,,,,,91.60319900512695,None,m,1,0.4669339656829834,91.60319900512695,None,91.11074900627136,91.66559290885925,92.12905097007751,None,92.1150787115097,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,0,30,30,31,,,,,,,,,,,94.15363097190857,None,m,1,0.46071290969848633,94.15363097190857,None,93.67944407463074,94.21270489692688,94.6824140548706,None,94.65895655155181,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,red,z,neutral,0,31,31,26,,,,,,,,,,,96.72490000724792,None,z,1,0.46554088592529297,96.72490000724792,None,96.23232984542847,96.78724789619446,97.26253700256348,None,97.23912050724029,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,0,32,32,9,,,,,,,,,,,99.30869483947754,None,m,1,0.4577298164367676,99.30869483947754,None,98.81558299064636,99.37111186981201,99.84690189361572,None,99.82340672016143,100.35830187797546,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,0,33,33,25,,,,,,,,,,,101.88987684249878,None,m,1,0.45255112648010254,101.88987684249878,None,101.39722800254822,101.95230793952942,102.42711997032166,None,102.4039654970169,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,0,34,34,10,,,,,,,,,,,104.46013402938843,None,z,1,0.5380990505218506,104.46013402938843,None,103.96737885475159,104.5226399898529,105.05452299118042,None,105.04046466350555,None,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,0,35,35,8,,,,,,,,,,,107.07437705993652,None,m,0,0.41983795166015625,107.07437705993652,None,106.60284304618835,107.13393306732178,107.57976794242859,None,107.5646054983139,108.08096885681152,,,,,,,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,red,z,neutral,,,,,0,0,0,0,0,0,0,12,,,111.20302605628967,None,z,1,0.5151312351226807,111.20302605628967,None,110.7133378982544,111.2622139453888,,,,,109.17373895645142,None,111.78638100624084,None,111.77414157390594,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,1,1,7,,,113.79029393196106,None,m,1,0.34433507919311523,113.79029393196106,None,113.31574892997742,113.84959387779236,,,,,,,114.22974395751953,None,114.21186854839324,114.7359938621521,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,2,2,3,,,116.27958393096924,None,m,1,0.31884193420410156,116.27958393096924,None,115.7861099243164,116.34216690063477,,,,,,,116.6775369644165,None,116.65983655452727,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,3,3,23,,,118.70732688903809,None,m,1,0.3711700439453125,118.70732688903809,None,118.21436786651611,118.7698450088501,,,,,,,119.15004801750183,None,119.13204767704009,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,4,4,20,,,121.17121195793152,None,z,1,0.37133097648620605,121.17121195793152,None,120.69165396690369,121.23352384567261,,,,,,,121.61412906646729,None,121.59610059261321,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,5,5,27,,,123.6251380443573,None,m,1,0.4454209804534912,123.6251380443573,None,123.14990592002869,123.6844630241394,,,,,,,124.13710188865662,None,124.11936571598052,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,6,6,29,,,126.16979885101318,None,m,1,0.3646199703216553,126.16979885101318,None,125.67636585235596,126.23225998878479,,,,,,,126.61289596557617,None,126.59509851932525,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,red,z,neutral,,,,,0,0,0,0,0,7,7,24,,,128.66393184661865,None,z,1,0.33426690101623535,128.66393184661865,None,128.1713628768921,128.72644090652466,,,,,,,129.07266306877136,None,129.06116058826447,129.58502888679504,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,8,8,17,,,131.11143803596497,None,m,1,0.31911492347717285,131.11143803596497,None,130.61828303337097,131.17383098602295,,,,,,,131.50957584381104,None,131.49188854694367,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,9,9,8,,,133.5403549671173,None,z,1,0.5301930904388428,133.5403549671173,None,133.04720187187195,133.6026840209961,,,,,,,134.16254591941833,None,134.14504053592682,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,0,0,0,0,0,10,10,28,,,136.17309093475342,None,z,1,0.473283052444458,136.17309093475342,None,135.69915986061096,136.23224997520447,,,,,,,136.71335887908936,None,136.70159866809846,137.22318601608276,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
